DrugID	Drug_Target
CHEMBL1256958	2917
CHEMBL1256958	4889
CHEMBL1256958	2841
CHEMBL1256958	1235
CHEMBL1256958	2358
CHEMBL1256958	2913
CHEMBL1256958	554
CHEMBL1256958	283869
CHEMBL1256958	2865
CHEMBL1256958	4128
CHEMBL1256958	887
CHEMBL1256958	113
CHEMBL1256958	885
CHEMBL1256958	135
CHEMBL1256958	4987
CHEMBL1256958	1908
CHEMBL1256958	9138
CHEMBL1256958	3363
CHEMBL1256958	8811
CHEMBL1256958	5745
CHEMBL1256958	3350
CHEMBL1256958	4161
CHEMBL1256958	3579
CHEMBL1256958	2828
CHEMBL1256958	1129
CHEMBL1256958	2692
CHEMBL1256958	53829
CHEMBL1256958	6863
CHEMBL1256958	2149
CHEMBL1256958	3355
CHEMBL1256958	51289
CHEMBL1256958	2837
CHEMBL1256958	5179
CHEMBL1256958	5021
CHEMBL1256958	1237
CHEMBL1256958	7433
CHEMBL1256958	338398
CHEMBL1256958	57121
CHEMBL1256958	53637
CHEMBL1256958	1395
CHEMBL1256958	6000
CHEMBL1256958	11255
CHEMBL1256958	6344
CHEMBL1256958	50865
CHEMBL1256958	8484
CHEMBL1256958	2696
CHEMBL1256958	4985
CHEMBL1256958	100462981
CHEMBL1256958	2691
CHEMBL1256958	2797
CHEMBL1256958	9002
CHEMBL1256958	2847
CHEMBL1256958	54429
CHEMBL1256958	50832
CHEMBL1256958	50831
CHEMBL1256958	1236
CHEMBL1256958	2864
CHEMBL1256958	2867
CHEMBL1256958	8698
CHEMBL1256958	50836
CHEMBL1256958	718
CHEMBL1256958	50835
CHEMBL1256958	50839
CHEMBL1256958	5732
CHEMBL1256958	50837
CHEMBL1256958	3375
CHEMBL1256958	8997
CHEMBL1256958	4159
CHEMBL1256958	2693
CHEMBL1256958	4852
CHEMBL1256958	54331
CHEMBL1256958	10911
CHEMBL1256958	2359
CHEMBL1256958	2767
CHEMBL1256958	1815
CHEMBL1256958	108
CHEMBL1256958	2770
CHEMBL1256958	155
CHEMBL1256958	10803
CHEMBL1256958	2918
CHEMBL1256958	10161
CHEMBL1256958	347148
CHEMBL1256958	797
CHEMBL1256958	728
CHEMBL1256958	6288
CHEMBL1256958	5733
CHEMBL1256958	2695
CHEMBL1256958	6752
CHEMBL1256958	6754
CHEMBL1256958	5539
CHEMBL1256958	50833
CHEMBL1256958	623
CHEMBL1256958	84634
CHEMBL1256958	2916
CHEMBL1256958	2798
CHEMBL1256958	6372
CHEMBL1256958	727
CHEMBL1256958	2862
CHEMBL1256958	5020
CHEMBL1256958	5173
CHEMBL1256958	128674
CHEMBL1256958	26575
CHEMBL1256958	5997
CHEMBL1256958	6343
CHEMBL1256958	27334
CHEMBL1256958	353164
CHEMBL1256958	29933
CHEMBL1256958	10287
CHEMBL1256958	122042
CHEMBL1256958	6869
CHEMBL1256958	7200
CHEMBL1256958	5729
CHEMBL1256958	6870
CHEMBL1256958	59350
CHEMBL1256958	5734
CHEMBL1256958	7253
CHEMBL1256958	4543
CHEMBL1256958	719
CHEMBL1256958	5724
CHEMBL1256958	5368
CHEMBL1256958	1234
CHEMBL1256958	6866
CHEMBL1256958	552
CHEMBL1256958	2587
CHEMBL1256958	2357
CHEMBL1256958	5290
CHEMBL1256958	2852
CHEMBL1256958	8601
CHEMBL1256958	5731
CHEMBL1256958	3060
CHEMBL1256958	58191
CHEMBL1256958	6755
CHEMBL1256958	115
CHEMBL1256958	3973
CHEMBL1256958	27199
CHEMBL1256958	886
CHEMBL1256958	729230
CHEMBL1256958	113091
CHEMBL1256958	351
CHEMBL1256958	114
CHEMBL1256958	2776
CHEMBL1256958	10563
CHEMBL1256958	6750
CHEMBL1256958	3361
CHEMBL1256958	3362
CHEMBL1256958	1392
CHEMBL1256958	2796
CHEMBL1256958	6570
CHEMBL1256958	3358
CHEMBL1256958	10874
CHEMBL1256958	643
CHEMBL1256958	5443
CHEMBL1256958	8620
CHEMBL1256958	6751
CHEMBL1256958	8477
CHEMBL1256958	5409
CHEMBL1256958	5739
CHEMBL1256958	6647
CHEMBL1256958	84432
CHEMBL1256958	5972
CHEMBL1256958	5746
CHEMBL1256958	57007
CHEMBL1256958	185
CHEMBL1256958	134864
CHEMBL1256958	51083
CHEMBL1256958	2911
CHEMBL1256958	107
CHEMBL1256958	2921
CHEMBL1256958	109
CHEMBL1256958	23620
CHEMBL1256958	5031
CHEMBL1256958	7201
CHEMBL1256958	196883
CHEMBL1256958	10887
CHEMBL1256958	10663
CHEMBL1256958	136
CHEMBL1256958	5028
CHEMBL1256958	112
CHEMBL1256958	154
CHEMBL1256958	1901
CHEMBL1256958	6366
CHEMBL1256958	3627
CHEMBL1256958	220074
CHEMBL1256958	1816
CHEMBL1256958	2915
CHEMBL1256958	1128
CHEMBL1256958	3576
CHEMBL1256958	147
CHEMBL1256958	2829
CHEMBL1256958	5029
CHEMBL1256958	6373
CHEMBL1256958	64805
CHEMBL1256958	10316
CHEMBL1256958	10850
CHEMBL1256958	56923
CHEMBL1256958	60675
CHEMBL1256958	3357
CHEMBL1256958	301
CHEMBL1256958	6374
CHEMBL1256958	5473
CHEMBL1256958	1230
CHEMBL1256958	2151
CHEMBL1256958	2150
CHEMBL1256958	222962
CHEMBL1256958	3577
CHEMBL1256958	2769
CHEMBL1256958	4986
CHEMBL1256958	4160
CHEMBL1256958	6363
CHEMBL1256958	134
CHEMBL1256958	4829
CHEMBL1256958	1131
CHEMBL1256958	2922
CHEMBL1256958	9340
CHEMBL1256958	7434
CHEMBL1256958	59340
CHEMBL1256958	4544
CHEMBL1256958	222545
CHEMBL1256958	1241
CHEMBL1256958	5330
CHEMBL1256958	3354
CHEMBL1256958	10886
CHEMBL1256958	9934
CHEMBL1256958	187
CHEMBL1256958	4922
CHEMBL1256958	5741
CHEMBL1256958	2840
CHEMBL1256958	84539
CHEMBL1256958	117
CHEMBL1256958	5744
CHEMBL1256958	6387
CHEMBL1256958	2919
CHEMBL1256958	57105
CHEMBL1256958	79924
CHEMBL1256958	5999
CHEMBL1256958	259285
CHEMBL1256958	4157
CHEMBL1256958	9628
CHEMBL1256958	5726
CHEMBL1256958	5053
CHEMBL1256958	3269
CHEMBL1256958	259293
CHEMBL1256958	259295
CHEMBL1256958	1232
CHEMBL1256958	8843
CHEMBL1256958	10672
CHEMBL1256958	259292
CHEMBL1256958	56413
CHEMBL1256958	259289
CHEMBL1256958	151306
CHEMBL1256958	2920
CHEMBL1256958	259296
